1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling-Mary GrandPré,4.56,0439785960,9780439785969,eng,652,1944099,26249
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling-Mary GrandPré,4.49,0439358078,9780439358071,eng,870,1996446,27613
3,Harry Potter and the Sorcerer's Stone (Harry Potter  #1),J.K. Rowling-Mary GrandPré,4.47,0439554934,9780439554930,eng,320,5629932,70390
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.41,0439554896,9780439554893,eng,352,6267,272
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling-Mary GrandPré,4.55,043965548X,9780439655484,eng,435,2149872,33964
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling-Mary GrandPré,4.78,0439682584,9780439682589,eng,2690,38872,154
9,Unauthorized Harry Potter Book Seven News: Half-Blood Prince Analysis and Speculation,W. Frederick Zimmerman,3.69,0976540606,9780976540601,en-US,152,18,1
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,0439827604,9780439827607,eng,3342,27410,820
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,0517226952,9780517226957,eng,815,3602,258
13,The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,4.38,0345453743,9780345453747,eng,815,240189,3954
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,1400052920,9781400052929,eng,215,4416,408
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams-Stephen Fry,4.22,0739322206,9780739322208,eng,6,1222,253
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy #1-5),Douglas Adams,4.38,0517149257,9780517149256,en-US,815,2801,192
21,A Short History of Nearly Everything,Bill Bryson-William Roberts,4.20,076790818X,9780767908184,eng,544,228522,8840
22,Bill Bryson's African Diary,Bill Bryson,3.43,0767915062,9780767915069,eng,55,6993,470
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.88,0767910435,9780767910439,eng,256,2020,124
24,In a Sunburned Country,Bill Bryson,4.07,0767903862,9780767903868,eng,335,68213,4077
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.90,076790382X,9780767903820,eng,304,47490,2153
26,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,0060920084,9780060920081,en-US,299,43779,2146
27,Neither Here nor There: Travels in Europe,Bill Bryson,3.87,0380713802,9780380713806,eng,254,46397,2127
28,Notes from a Small Island,Bill Bryson,3.92,0380727501,9780380727506,eng,324,76476,3159
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.94,0380715430,9780380715435,eng,270,26672,1986
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,0345538374,9780345538376,eng,1728,97731,1536
31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.49,0618517650,9780618517657,eng,1184,1670,91
32,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.49,0618346244,9780618346240,eng,1137,2819,139
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.35,0618346252,9780618346257,eng,398,2009749,12784
35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien-Alan  Lee,4.49,0618260587,9780618260584,en-US,1216,1606,139
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith-Christopher  Lee-Richard Taylor,4.53,0618391002,9780618391004,eng,218,18934,43
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.50,0618510826,9780618510825,eng,224,343,6
38,The Lord of the Rings Box Set,J.R.R. Tolkien,4.49,0618153977,9780618153978,eng,1223,216,19
40,Cooking with Fernet Branca (Gerald Samper  #1),James Hamilton-Paterson,3.61,193337201X,9781933372013,eng,288,1214,202
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas-David Heinemeier Hansson-Leon Breedt-Mike Clark-Thomas  Fuchs-Andreas  Schwarz,3.89,097669400X,9780976694007,eng,558,1269,59
50,Hatchet,Gary Paulsen,3.70,0689840926,9780689840920,eng,208,254827,11346
51,Hatchet: A Guide for Using Hatchet in the Classroom,Donna Ickes-Edward Sciranko-Keith Vasconcelles,3.97,1557344493,9781557344496,eng,48,35,2
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.87,0385326505,9780385326506,eng,144,1996,326
54,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,1575606240,9781575606248,eng,56,6,0
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.48,1595580271,9781595580276,en-US,228,99,16
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight-Sahara Kelly-Judy Mays-Marteeka Karland-Kate Douglas-Shelby Morgen-Lacey Savage-Kate Hill-Willa Okati,3.75,1595962808,9781595962805,eng,304,167,4
58,Changeling (Changeling  #1),Delia Sherman,3.60,0670059676,9780670059676,eng,256,957,112
59,The Changeling Sea,Patricia A. McKillip,4.07,0141312629,9780141312620,eng,137,4319,289
61,The Changeling,Zilpha Keatley Snyder,4.17,0595321801,9780595321803,eng,228,1155,92
63,The Changeling,Kate Horsley,3.56,1590301943,9781590301944,eng,339,295,42
66,The Changeling (Daughters of England  #15),Philippa Carr,3.99,0449146979,9780449146972,eng,369,341,12
67,The Known World,Edward P. Jones,3.83,0061159174,9780061159176,eng,388,28962,2576
68,The Known World,Edward P. Jones-Kevin R. Free,3.83,006076273X,9780060762735,en-US,14,50,12
69,The Known World,Edward P. Jones,3.83,0060749911,9780060749910,eng,576,22,3
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,0273704745,9780273704744,eng,334,1398,78
72,Artesia: Adventures in the Known World,Mark Smylie,4.16,1932386106,9781932386103,eng,352,50,4
73,The Known World,Edward P. Jones,3.83,096513671X,9780965136716,eng,388,15,2
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee-William Howarth,4.43,0374517193,9780374517199,eng,416,550,36
75,Uncommon Carriers,John McPhee,3.95,0374280398,9780374280390,en-US,248,1561,192
76,Heirs of General Practice,John McPhee,4.15,0374519749,9780374519742,eng,128,253,18
77,The Control of Nature,John McPhee,4.24,0374522596,9780374522599,en-US,288,3365,290
78,Annals of the Former World,John McPhee,4.33,0374518734,9780374518738,eng,720,2966,211
79,Coming Into the Country,John McPhee,4.22,0374522871,9780374522872,eng,448,5452,245
80,La Place de la Concorde Suisse,John McPhee,3.91,0374519323,9780374519322,eng,160,671,52
81,Giving Good Weight,John McPhee,4.22,0374516006,9780374516000,eng,288,533,34
83,Rising from the Plains,John McPhee,4.22,0374520658,9780374520656,eng,208,1263,91
85,The Heidi Chronicles,Wendy Wasserstein,3.73,0822205106,9780822205104,eng,81,1348,69
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.83,0679734996,9780679734994,eng,249,2732,63
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,1596670231,9781596670235,eng,138,31,1
90,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.75,1581807740,9781581807745,en-US,128,61,4
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker-Rolland Baker,4.45,0800793617,9780800793616,eng,192,822,53
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.70,0871202867,9780871202864,en-US,72,71,2
93,Heidi,Johanna Spyri-Beverly Cleary-Angelo  Rinaldi,3.98,0753454947,9780753454947,eng,352,150657,2175
94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.28,0871209993,9780871209993,eng,192,53,5
96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker-Heidi Baker,4.45,1852402873,9781852402877,eng,192,34,6
98,What to Expect the First Year (What to Expect),Heidi Murkoff-Sharon Mazel-Heidi Murkoff-Arlene Eisenberg-Sandee Hathaway-Mark D. Widome,3.88,0761129588,9780761129585,eng,832,11489,658
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss-Libby Keatinge,3.82,0972016414,9780972016414,eng,123,34,8
100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.75,1581805632,9781581805635,en-US,128,75,4